step:3600/3600, q_loss:0, rewards:-1136.6422222222222
episode:0/200, average travel time:1299.117123935667
intersection:0, mean_episode_reward:-76.71166666666667
intersection:1, mean_episode_reward:-76.38333333333335
intersection:2, mean_episode_reward:-75.715
intersection:3, mean_episode_reward:-49.953333333333326
intersection:4, mean_episode_reward:-66.22305555555559
intersection:5, mean_episode_reward:-25.137777777777774
intersection:6, mean_episode_reward:-66.395
intersection:7, mean_episode_reward:-36.59388888888887
intersection:8, mean_episode_reward:-49.672499999999985
intersection:9, mean_episode_reward:-12.436944444444444
intersection:10, mean_episode_reward:-10.230833333333333
intersection:11, mean_episode_reward:-14.78527777777778
intersection:12, mean_episode_reward:-43.891666666666694
intersection:13, mean_episode_reward:-42.705555555555584
intersection:14, mean_episode_reward:-47.54833333333334
intersection:15, mean_episode_reward:-47.675833333333344
intersection:16, mean_episode_reward:-2.376111111111111
intersection:17, mean_episode_reward:-2.2566666666666664
intersection:18, mean_episode_reward:-0.9155555555555553
intersection:19, mean_episode_reward:-0.823888888888889
intersection:20, mean_episode_reward:-0.8211111111111111
intersection:21, mean_episode_reward:-1.1375
intersection:22, mean_episode_reward:-2.6825
intersection:23, mean_episode_reward:-4.215833333333333
intersection:24, mean_episode_reward:-6.182500000000001
intersection:25, mean_episode_reward:-6.743055555555553
intersection:26, mean_episode_reward:-8.418888888888887
intersection:27, mean_episode_reward:-0.6388888888888888
intersection:28, mean_episode_reward:-0.5830555555555555
intersection:29, mean_episode_reward:-3.6299999999999986
intersection:30, mean_episode_reward:-1.9222222222222207
intersection:31, mean_episode_reward:-0.7663888888888886
intersection:32, mean_episode_reward:-40.03722222222223
intersection:33, mean_episode_reward:-23.393333333333334
intersection:34, mean_episode_reward:-42.71194444444444
intersection:35, mean_episode_reward:-11.185833333333333
intersection:36, mean_episode_reward:-8.902222222222223
intersection:37, mean_episode_reward:-17.162777777777773
intersection:38, mean_episode_reward:-20.224166666666665
intersection:39, mean_episode_reward:-24.279722222222226
intersection:40, mean_episode_reward:-27.776388888888885
intersection:41, mean_episode_reward:-36.53305555555555
intersection:42, mean_episode_reward:-21.315277777777776
intersection:43, mean_episode_reward:-15.15388888888889
intersection:44, mean_episode_reward:-4.356111111111109
intersection:45, mean_episode_reward:-5.0969444444444445
intersection:46, mean_episode_reward:-1.0472222222222218
intersection:47, mean_episode_reward:-51.29194444444444
