step:3600/3600, q_loss:0, rewards:-629.0041666666667
episode:0/200, average travel time:1596.8223529411764
intersection:0, mean_episode_reward:-24.23861111111111
intersection:1, mean_episode_reward:-34.34222222222222
intersection:2, mean_episode_reward:-15.579999999999995
intersection:3, mean_episode_reward:-19.531944444444434
intersection:4, mean_episode_reward:-16.338333333333328
intersection:5, mean_episode_reward:-13.73194444444445
intersection:6, mean_episode_reward:-13.276388888888889
intersection:7, mean_episode_reward:-16.070833333333333
intersection:8, mean_episode_reward:-11.194444444444446
intersection:9, mean_episode_reward:-10.426666666666666
intersection:10, mean_episode_reward:-13.742222222222217
intersection:11, mean_episode_reward:-13.5213888888889
intersection:12, mean_episode_reward:-18.760555555555552
intersection:13, mean_episode_reward:-19.469722222222213
intersection:14, mean_episode_reward:-26.17333333333334
intersection:15, mean_episode_reward:-21.803055555555552
intersection:16, mean_episode_reward:-0.6269444444444444
intersection:17, mean_episode_reward:-1.6561111111111124
intersection:18, mean_episode_reward:-0.6108333333333331
intersection:19, mean_episode_reward:-1.0516666666666674
intersection:20, mean_episode_reward:-0.851111111111111
intersection:21, mean_episode_reward:-0.26722222222222225
intersection:22, mean_episode_reward:-0.9991666666666664
intersection:23, mean_episode_reward:-1.086666666666667
intersection:24, mean_episode_reward:-0.5352777777777776
intersection:25, mean_episode_reward:-0.32083333333333336
intersection:26, mean_episode_reward:-0.48111111111111116
intersection:27, mean_episode_reward:-0.4294444444444444
intersection:28, mean_episode_reward:-0.9849999999999999
intersection:29, mean_episode_reward:-1.3044444444444447
intersection:30, mean_episode_reward:-0.4866666666666667
intersection:31, mean_episode_reward:-0.31333333333333335
intersection:32, mean_episode_reward:-16.500277777777782
intersection:33, mean_episode_reward:-17.51916666666667
intersection:34, mean_episode_reward:-13.644444444444442
intersection:35, mean_episode_reward:-17.478055555555553
intersection:36, mean_episode_reward:-10.968888888888891
intersection:37, mean_episode_reward:-11.624444444444443
intersection:38, mean_episode_reward:-10.800277777777774
intersection:39, mean_episode_reward:-10.345277777777774
intersection:40, mean_episode_reward:-12.545277777777779
intersection:41, mean_episode_reward:-14.823333333333334
intersection:42, mean_episode_reward:-13.586944444444443
intersection:43, mean_episode_reward:-19.261388888888902
intersection:44, mean_episode_reward:-30.09388888888889
intersection:45, mean_episode_reward:-33.87083333333333
intersection:46, mean_episode_reward:-9.951944444444443
intersection:47, mean_episode_reward:-85.78222222222223
Test step:0/200, travel time :2980.8970588235293, rewards:-1274.792777777778
step:3600/3600, q_loss:0, rewards:-756.0416666666669
episode:1/200, average travel time:1849.4088235294118
intersection:0, mean_episode_reward:-58.52500000000001
intersection:1, mean_episode_reward:-15.450555555555557
intersection:2, mean_episode_reward:-26.90138888888889
intersection:3, mean_episode_reward:-20.39805555555556
intersection:4, mean_episode_reward:-19.019722222222224
intersection:5, mean_episode_reward:-18.72611111111111
intersection:6, mean_episode_reward:-13.616944444444446
intersection:7, mean_episode_reward:-35.66472222222222
intersection:8, mean_episode_reward:-14.59638888888889
intersection:9, mean_episode_reward:-18.50111111111111
intersection:10, mean_episode_reward:-20.95638888888889
intersection:11, mean_episode_reward:-16.815277777777776
intersection:12, mean_episode_reward:-43.67305555555556
intersection:13, mean_episode_reward:-47.80805555555556
intersection:14, mean_episode_reward:-33.83972222222222
intersection:15, mean_episode_reward:-36.07138888888889
intersection:16, mean_episode_reward:-0.43027777777777765
intersection:17, mean_episode_reward:-1.1797222222222221
intersection:18, mean_episode_reward:-0.5183333333333332
intersection:19, mean_episode_reward:-0.7566666666666666
intersection:20, mean_episode_reward:-1.3250000000000004
intersection:21, mean_episode_reward:-0.5
intersection:22, mean_episode_reward:-0.6191666666666666
intersection:23, mean_episode_reward:-0.7888888888888891
intersection:24, mean_episode_reward:-0.2808333333333333
intersection:25, mean_episode_reward:-0.335
intersection:26, mean_episode_reward:-0.26861111111111113
intersection:27, mean_episode_reward:-0.6005555555555554
intersection:28, mean_episode_reward:-1.1469444444444445
intersection:29, mean_episode_reward:-0.456111111111111
intersection:30, mean_episode_reward:-0.25194444444444447
intersection:31, mean_episode_reward:-0.13305555555555557
intersection:32, mean_episode_reward:-12.333055555555555
intersection:33, mean_episode_reward:-17.9275
intersection:34, mean_episode_reward:-16.188888888888894
intersection:35, mean_episode_reward:-18.72083333333334
intersection:36, mean_episode_reward:-12.912777777777782
intersection:37, mean_episode_reward:-10.650833333333333
intersection:38, mean_episode_reward:-8.863611111111108
intersection:39, mean_episode_reward:-9.212500000000002
intersection:40, mean_episode_reward:-8.749722222222221
intersection:41, mean_episode_reward:-12.369166666666661
intersection:42, mean_episode_reward:-11.87583333333333
intersection:43, mean_episode_reward:-15.154166666666665
intersection:44, mean_episode_reward:-29.20166666666668
intersection:45, mean_episode_reward:-33.19444444444446
intersection:46, mean_episode_reward:-8.601944444444444
intersection:47, mean_episode_reward:-79.92972222222222
Test step:1/200, travel time :2980.8970588235293, rewards:-1274.792777777778
